,Player,Span,Matches,Innings,NO,Runs,HS,AVG,Balls Faced,Strike Rate,100,50,0,4's,6's
871,Anasim Khan (BHR),2019-2021,12,9,2,87,23*,12.42,75,116.00,0,0,1,6,3
872,Mandeep Singh (INDIA),2016-2016,3,3,1,87,52*,43.50,73,119.17,0,1,0,11,1
873,C Munoz-Mills (ESP),2019-2022,15,11,5,87,29*,14.50,84,103.57,0,0,1,5,3
874,IS Sodhi (NZ),2014-2021,66,12,5,87,16*,12.42,83,104.81,0,0,2,6,5
875,Abdul Shakoor (ROM),2019-2021,8,6,2,86,31*,21.50,77,111.68,0,0,1,9,1
876,DI Allan (KENYA),2012-2013,10,10,0,86,18,8.60,135,63.70,0,0,0,7,0
877,MA Baig (MWI),2019-2021,13,9,4,86,37*,17.20,105,81.90,0,0,3,7,0
878,AR Gandhi (KENYA),2019-2019,3,3,1,86,50,43.00,98,87.75,0,1,0,5,1
879,J Ghadiyali (),2021-2021,6,6,1,86,27*,17.20,96,89.58,0,0,2,8,1
880,GJ Hopkins (NZ),2007-2010,10,8,0,86,36,10.75,71,121.12,0,0,0,5,5
881,SM Pollock (SA),2005-2008,12,9,2,86,36*,12.28,70,122.85,0,0,3,4,4
882,Shamsur Rahman (BAN),2013-2014,9,8,0,86,53,10.75,85,101.17,0,1,2,12,1
883,S Thakor (TAN),2021-2021,10,7,3,86,33,21.50,55,156.36,0,0,2,5,6
884,PVD Chameera (SL),2015-2022,47,23,11,85,24*,7.08,89,95.50,0,0,2,8,1
885,JA Fitzgerald (GIBR),2019-2021,12,9,3,85,27,14.16,76,111.84,0,0,2,1,5
886,OD Hald (DEN),2019-2021,12,10,2,85,24,10.62,76,111.84,0,0,1,4,4
887,Kashif Daud (UAE),2021-2022,12,9,4,85,28*,17.00,49,173.46,0,0,2,6,5
888,DP Michael (Samoa),2019-2019,4,4,1,85,55*,28.33,82,103.65,0,1,1,1,6
889,A Natubhai Ahir (PNM),2019-2021,8,8,0,85,30,10.62,104,81.73,0,0,2,11,2
890,AR Nurse (WI),2011-2019,13,8,6,85,20*,42.50,71,119.71,0,0,0,7,3
891,AU Rashid (ENG),2009-2022,73,26,14,85,22,7.08,98,86.73,0,0,1,7,0
892,SI Runsewe (NGA),2019-2021,10,9,2,85,27,12.14,101,84.15,0,0,2,4,0
893,RML Taylor (SCOT),2013-2016,9,6,3,85,41*,28.33,58,146.55,0,0,0,6,4
894,Khalid Zahid (SWE),2021-2021,7,6,1,84,47*,16.80,62,135.48,0,0,0,9,2
895,Asif Bevinje (ROM),2020-2021,6,5,0,84,35,16.80,68,123.52,0,0,0,7,4
896,KNA Bandara (SL),2021-2021,4,4,1,84,44*,28.00,79,106.32,0,0,0,4,3
897,N Khosla (MLT),2019-2019,4,4,0,84,27,21.00,95,88.42,0,0,0,3,2
898,P Kurup (BHR),2021-2022,3,2,1,84,74,84.00,55,152.72,0,1,0,7,2
899,MA Starc (AUS),2012-2022,50,17,8,84,14,9.33,82,102.43,0,0,0,4,2
900,Arjun Vinod (SUI),2021-2021,4,3,1,84,43*,42.00,55,152.72,0,0,0,6,4
901,V Balakrishnan (BOT),2019-2021,7,6,3,83,29*,27.66,98,84.69,0,0,0,6,3
902,W Boshoff (SWE),2021-2021,7,7,0,83,32,11.85,100,83.00,0,0,1,6,0
903,Fayyaz Butt (OMA),2019-2022,22,11,5,83,25*,13.83,90,92.22,0,0,1,7,2
904,C Hartmann (IOM),2020-2021,5,5,3,83,34*,41.50,70,118.57,0,0,0,3,5
905,JK Kamande (KENYA),2007-2010,12,9,0,83,42,9.22,92,90.21,0,0,2,5,3
906,T Rajiv (SEY),2021-2021,6,6,0,83,36,13.83,70,118.57,0,0,1,11,2
907,S Thanikaithasan (DEN),2021-2021,6,6,0,83,35,13.83,76,109.21,0,0,1,5,3
908,AJ Tye (AUS),2016-2021,32,15,7,83,20,10.37,76,109.21,0,0,3,5,4
909,D Gim (NGA),2019-2021,17,13,2,82,18,7.45,134,61.19,0,0,2,2,1
910,AS Hansra (CAN),2012-2013,8,8,2,82,30,13.66,85,96.47,0,0,0,4,3
911,Muhammad Awais (GRC),2019-2019,3,3,2,82,42*,82.00,59,138.98,0,0,0,12,1
912,TD Paine (AUS/World),2009-2017,12,9,1,82,25,10.25,77,106.49,0,0,2,7,3
913,PA Raikes (GIBR),2021-2021,4,4,1,82,45*,27.33,60,136.66,0,0,0,5,4
914,JOP Scamans (Fin),2019-2021,6,6,2,82,28,20.50,78,105.12,0,0,0,3,0
915,Shaikh Ashraf (Peru),2019-2019,4,4,0,82,38,20.50,67,122.38,0,0,0,8,3
916,K Birkenstock (NAM),2019-2021,9,4,1,81,59,27.00,45,180.00,0,1,0,9,4
917,N Knights (IOM),2020-2021,5,5,0,81,33,16.20,52,155.76,0,0,1,6,7
918,Waseem Abbas (MLT),2019-2021,23,13,4,81,20*,9.00,52,155.76,0,0,1,4,6
919,Ahsan Abbasi (HKG),2019-2019,6,6,0,80,18,13.33,87,91.95,0,0,0,7,2
920,Ali Masood (EST),2021-2021,6,6,0,80,26,13.33,82,97.56,0,0,1,10,2
921,DAP Darrell (BMUDA),2019-2019,11,10,1,80,30*,8.88,95,84.21,0,0,1,1,5
922,Faizan Asif (UAE),2014-2015,6,6,0,80,28,13.33,64,125.00,0,0,0,9,3
923,Ainool Hafizs (MAL),2019-2022,8,7,2,79,21,15.80,75,105.33,0,0,0,4,2
924,WAE Burton (SRB),2021-2021,4,4,0,79,22,19.75,54,146.29,0,0,0,12,2
925,Haider Butt (BHR),2021-2022,9,7,2,79,35,15.80,70,112.85,0,0,0,5,3
926,Idrees Ul Haque (SUI),2021-2021,4,3,0,79,42,26.33,48,164.58,0,0,0,7,6
927,Khizer Ahmed (NOR),2019-2022,9,8,2,79,37,13.16,108,73.14,0,0,1,6,0
928,SC Kuggeleijn (NZ),2019-2021,18,8,4,79,35*,19.75,37,213.51,0,0,2,5,7
929,JN Loftie-Eaton (NAM),2021-2022,14,10,2,79,18,9.87,90,87.77,0,0,1,6,1
930,Zahir Mohammed (HUN),2021-2021,4,3,0,79,33,26.33,46,171.73,0,0,0,8,4
931,CD Barnwell (WI),2011-2013,6,6,2,78,34*,19.50,62,125.80,0,0,1,4,4
932,R Gowthaman (SWE),2021-2021,5,5,0,78,29,15.60,95,82.10,0,0,0,3,1
933,GM Ntambalika (MWI),2019-2021,9,5,0,78,41,15.60,69,113.04,0,0,0,6,3
934,AR Patel (INDIA),2015-2021,15,10,6,78,20*,19.50,62,125.80,0,0,0,4,3
935,Rizwan Mahmood (DEN),2019-2021,7,6,1,78,37,15.60,67,116.41,0,0,1,3,3
936,KD Abeyrathna (NOR),2021-2022,7,7,0,77,30,11.00,122,63.11,0,0,1,6,1
937,Ayaan Khan (OMA),2021-2022,7,6,0,77,22,12.83,77,100.00,0,0,0,6,2
938,D Doyle-Calle (ESP),2022-2022,4,4,0,77,38,19.25,89,86.51,0,0,0,4,3
939,SJ Modani (USA),2021-2021,2,2,0,77,50,38.50,55,140.00,0,1,0,4,3
940,SA Wijeyeratne (CAN),2019-2019,2,2,0,77,56,38.50,51,150.98,0,1,0,12,0
941,Abdul Hashmi (DEN),2019-2021,10,7,1,76,31,12.66,78,97.43,0,0,1,4,0
942,VD Adewoye (NGA),2019-2021,13,12,2,76,23*,7.60,84,90.47,0,0,3,6,3
943,WJ Cope (LUX),2020-2021,12,11,5,76,38,12.66,69,110.14,0,0,0,11,0
944,A Flintoff (ENG),2005-2007,7,7,1,76,31,12.66,60,126.66,0,0,1,7,2
945,Imran Farhat (PAK),2010-2011,7,7,0,76,19,10.85,70,108.57,0,0,1,14,0
946,Irfan Ahmed (HKG),2014-2015,8,8,0,76,34,9.50,83,91.56,0,0,2,4,6
947,AL Kerai (SLE),2021-2021,9,9,1,76,24,9.50,124,61.29,0,0,3,2,2
948,NFI McCallum (SCOT),2007-2010,11,7,0,76,38,10.85,85,89.41,0,0,3,7,1
949,S Matsikenyeri (ZIM),2006-2012,10,10,0,76,32,7.60,82,92.68,0,0,2,6,3
950,PHKD Mendis (SL),2018-2021,5,5,0,76,41,15.20,62,122.58,0,0,1,6,3
951,Najmul Hossain Shanto (BAN),2019-2021,6,6,0,76,40,12.66,76,100.00,0,0,0,8,0
952,VS Solanki (ENG),2005-2007,3,3,0,76,43,25.33,61,124.59,0,0,0,10,1
953,Virk Ali (Fran),2021-2021,4,4,1,76,52*,25.33,82,92.68,0,1,1,4,3
954,LHB Harrington-Myers (Caym),2019-2022,9,8,3,75,22,15.00,83,90.36,0,0,1,3,2
955,NR Kirton (CAN),2019-2019,5,5,2,75,37*,25.00,83,90.36,0,0,0,4,1
956,SA Okpe (NGA),2019-2021,16,12,1,75,22,6.81,100,75.00,0,0,1,5,1
957,DC Stovell (BMUDA),2019-2021,12,11,3,75,23,9.37,83,90.36,0,0,3,8,0
958,E Ul Haq (NOR),2019-2021,10,10,0,75,30,7.50,120,62.50,0,0,1,7,1
959,NJ Astle (NZ),2005-2006,4,4,1,74,40*,24.66,67,110.44,0,0,0,7,2
960,AR Berenger (QAT),2021-2021,4,4,0,74,37,18.50,54,137.03,0,0,0,8,3
961,Hirenkumar Patel (Chile),2019-2019,4,4,0,74,22,18.50,82,90.24,0,0,0,9,1
962,S Hirugade (Mex),2019-2019,6,6,0,74,35,12.33,86,86.04,0,0,1,8,2
963,Naeem Gull (),2021-2021,6,6,0,74,20,12.33,104,71.15,0,0,0,10,0
964,KO Otieno (KENYA),2008-2008,4,4,0,74,40,18.50,79,93.67,0,0,0,5,2
965,J Vira (VAN),2019-2019,14,12,4,74,23,9.25,68,108.82,0,0,1,7,2
966,NT Broom (NZ),2009-2017,11,7,1,73,36,12.16,68,107.35,0,0,0,8,1
967,TS Fray (BMUDA),2019-2019,10,10,1,73,29,8.11,96,76.04,0,0,3,9,0
968,Junaid Aziz (BHR),2020-2022,12,7,1,73,24*,12.16,82,89.02,0,0,0,8,1
969,Khalid Ahmadi (Belg),2020-2021,9,6,4,73,31*,36.50,37,197.29,0,0,0,9,3
970,Khurram Khan (UAE),2014-2014,3,3,0,73,31,24.33,73,100.00,0,0,0,8,0
971,AM Oyede (NGA),2019-2019,8,8,1,73,39,10.42,104,70.19,0,0,2,5,1
972,Saad Bin Zafar (CAN),2019-2022,22,8,1,73,20,10.42,75,97.33,0,0,0,5,3
973,Bilal Safdar (NOR),2021-2022,9,8,2,73,37*,12.16,86,84.88,0,0,0,7,0
974,AJ Strauss (ENG),2005-2009,4,4,0,73,33,18.25,64,114.06,0,0,1,9,0
975,RA Thomas (CAN),2019-2019,8,8,1,73,18,10.42,95,76.84,0,0,1,7,1
976,Yousef Shadzehisarjou (Iran),2020-2020,3,3,0,73,39,24.33,106,68.86,0,0,0,9,0
977,JR Barry (Bhm),2021-2021,6,6,0,72,22,12.00,93,77.41,0,0,1,9,0
978,Farhad Reza (BAN),2006-2014,13,9,0,72,19,8.00,88,81.81,0,0,1,4,2
979,Mahmud Jasat (PNM),2021-2021,6,6,1,72,21,14.40,99,72.72,0,0,0,5,0
980,B Masaba (UGA),2019-2022,14,6,2,72,29,18.00,84,85.71,0,0,0,8,1
981,TW Nightingale (GUE),2020-2022,5,4,2,72,46*,36.00,87,82.75,0,0,0,2,2
982,S Samal (RWN),2021-2021,8,5,0,72,31,14.40,63,114.28,0,0,0,5,3
983,DR Sams (AUS),2020-2022,7,5,2,72,41,24.00,38,189.47,0,0,0,6,4
984,S Tosic (SRB),2021-2021,4,4,1,72,38*,24.00,136,52.94,0,0,0,5,0
985,M van Lingen (NAM),2021-2021,8,5,0,72,25,14.40,74,97.29,0,0,0,7,2
986,AS Wright (GUE),2019-2019,8,7,0,72,43,10.28,84,85.71,0,0,1,6,3
987,Garret Banner (Blz),2019-2021,7,5,2,71,32,23.66,68,104.41,0,0,1,5,2
988,Ibrahim Hassan (Mald),2019-2021,18,14,3,71,18*,6.45,98,72.44,0,0,3,0,3
989,Anser Mehmood (SUI),2021-2021,4,3,1,70,29,35.00,63,111.11,0,0,0,4,3
990,Awais Zia (PAK),2012-2014,5,5,0,70,23,14.00,80,87.50,0,0,0,4,3
991,CPPM Sadun (CYP),2021-2021,6,6,2,70,26*,17.50,69,101.44,0,0,1,6,3
992,WP Masakadza (ZIM),2015-2021,28,15,7,70,19*,8.75,76,92.10,0,0,1,5,0
993,FF Mulivai (Samoa),2019-2019,4,4,0,70,48,17.50,37,189.18,0,0,1,2,8
994,CM Akachukwu (NGA),2019-2021,15,10,4,69,30,11.50,69,100.00,0,0,1,4,1
995,Hafez Farooq (Peru),2019-2019,4,4,0,69,24,17.25,67,102.98,0,0,0,7,2
996,C Hauptfleisch (Caym),2019-2019,5,5,0,69,42,13.80,85,81.17,0,0,1,4,2
997,Ibrarul Haq (Saudi),2019-2019,5,4,0,69,49,17.25,47,146.80,0,0,1,6,4
998,SM Katich (AUS),2005-2006,3,2,0,69,39,34.50,47,146.80,0,0,0,8,2
999,J Linton (Caym),2022-2022,3,3,0,69,40,23.00,89,77.52,0,0,0,2,2
1000,OE Newey (GUE),2019-2022,10,7,1,69,23*,11.50,79,87.34,0,0,1,3,0
1001,G Sesay (SLE),2021-2021,10,8,1,69,23*,9.85,115,60.00,0,0,2,2,2
1002,TB Sole (SCOT),2019-2019,9,6,2,69,33*,17.25,43,160.46,0,0,0,9,1
1003,SN Thakur (INDIA),2018-2022,25,6,3,69,22*,23.00,38,181.57,0,0,2,5,4
1004,J Umanath (Mex),2019-2019,7,7,1,69,25,11.50,77,89.61,0,0,1,7,2
1005,R Ankad (Mex),2019-2019,8,7,3,68,40*,17.00,72,94.44,0,0,2,7,0
1006,AG Cremer (ZIM),2008-2018,29,19,6,68,17,5.23,102,66.66,0,0,2,2,0
1007,PJ Cummins (AUS),2011-2022,39,16,7,68,13*,7.55,52,130.76,0,0,2,3,4
1008,Dawlat Zadran (AFG),2012-2019,34,17,8,68,13,7.55,42,161.90,0,0,3,4,6
1009,TM Dowlin (WI),2009-2010,2,2,1,68,37*,68.00,69,98.55,0,0,0,8,0
1010,L Emilio (MOZ),2019-2021,9,8,1,68,23,9.71,59,115.25,0,0,0,7,1
1011,Sikander Zulfiqar (NED),2016-2019,11,8,1,68,18,9.71,68,100.00,0,0,0,5,0
1012,Taskin Ahmed (BAN),2014-2021,33,15,8,68,15*,9.71,73,93.15,0,0,1,6,2
1013,VE Tembo (MOZ),2019-2021,9,8,3,68,20*,13.60,75,90.66,0,0,0,2,1
1014,JNT Vare (PNG),2015-2017,8,7,0,68,38,9.71,71,95.77,0,0,0,4,0
1015,C Viljoen (NAM),2019-2019,12,7,3,68,33,17.00,70,97.14,0,0,0,7,1
1016,AJ Michael (Samoa),2019-2019,4,4,1,67,23,22.33,69,97.10,0,0,0,5,2
1017,Shahil Momin (Aut),2021-2021,3,3,0,67,61,22.33,55,121.81,0,1,0,6,0
1018,Abraash Khan (CAN),2019-2019,7,4,0,66,22,16.50,60,110.00,0,0,0,7,1
1019,Fitri Sham (MAL),2019-2021,24,14,5,66,15*,7.33,76,86.84,0,0,0,2,3
1020,AJ Hosein (WI),2021-2022,20,8,6,66,44*,33.00,48,137.50,0,0,0,3,5
1021,J Kila (PNG),2019-2022,16,9,4,66,27*,13.20,46,143.47,0,0,1,4,5
1022,Lokesh Bam (NEPAL),2022-2022,8,6,1,66,33,13.20,54,122.22,0,0,1,3,5
1023,A Sarma (GER),2019-2021,5,4,0,66,28,16.50,77,85.71,0,0,0,4,1
1024,AA Banner (Blz),2019-2021,9,7,0,65,28,9.28,65,100.00,0,0,1,7,3
1025,Iqbal Hussain (QAT),2019-2021,26,11,5,65,22*,10.83,60,108.33,0,0,3,4,2
1026,Mohamed Mahfooz (Mald),2019-2021,15,9,2,65,16,9.28,88,73.86,0,0,0,3,0
1027,VS Padhaal (Fin),2019-2021,9,9,0,65,25,7.22,82,79.26,0,0,1,6,0
1028,Shehzad Patel (),2021-2021,6,6,2,65,30*,16.25,54,120.37,0,0,0,4,4
1029,Shoaib Khan jnr (PAK),2008-2008,4,4,0,65,50,16.25,74,87.83,0,1,1,7,0
1030,Ansar Iqbal (NOR),2019-2019,4,4,0,64,40,16.00,72,88.88,0,0,0,6,1
1031,M Bhanuka (SL),2019-2021,5,4,0,64,36,16.00,66,96.96,0,0,1,7,0
1032,SSJ Brooks (WI),2021-2021,3,3,0,64,49,21.33,50,128.00,0,0,0,3,5
1033,RL Chase (WI),2021-2022,6,5,0,64,39,12.80,73,87.67,0,0,1,6,0
1034,TK Curran (ENG),2017-2021,30,13,7,64,14*,10.66,56,114.28,0,0,0,1,4
1035,RM Haq (SCOT),2007-2013,21,12,7,64,21*,12.80,96,66.66,0,0,1,2,1
1036,DP Hyatt (WI),2011-2012,5,5,1,64,28,16.00,54,118.51,0,0,0,4,4
1037,Kaleemullah (OMA),2017-2022,18,8,2,64,15,10.66,49,130.61,0,0,1,1,6
1038,Mohameed Taiwo (NGA),2019-2021,11,10,5,64,19*,12.80,87,73.56,0,0,1,1,1
1039,WB Rankin (ENG/IRE),2009-2020,50,15,8,64,16*,9.14,74,86.48,0,0,2,3,3
1040,DJ Reekers (NED),2008-2009,6,5,0,64,29,12.80,49,130.61,0,0,1,10,2
1041,Sadeeq Khan (ROM),2019-2019,3,3,1,64,28,32.00,42,152.38,0,0,0,3,6
1042,M Sohel Patel (PNM),2019-2021,7,7,0,64,40,9.14,72,88.88,0,0,2,4,3
1043,Usman Waheed (KUW),2019-2019,6,4,1,64,28*,21.33,61,104.91,0,0,1,6,1
1044,N Wijesekera (Aut),2021-2021,4,4,0,64,28,16.00,57,112.28,0,0,0,4,1
1045,CA Young (IRE),2015-2022,48,17,8,64,22,7.11,78,82.05,0,0,2,5,2
1046,LJ Barker (GUE),2019-2020,10,8,0,63,20,7.87,69,91.30,0,0,3,8,0
1047,MP Biddappa (PHI),2019-2022,7,5,1,63,26,15.75,101,62.37,0,0,1,4,1
1048,Z Bimenyimana (RWN),2021-2021,9,7,1,63,25*,10.50,41,153.65,0,0,0,2,7
1049,M Dixit (LUX),2019-2021,10,4,0,63,38,15.75,67,94.02,0,0,0,6,2
1050,Imran Ismail (MOZ),2019-2019,7,7,0,63,17,9.00,58,108.62,0,0,0,7,3
1051,Sultan Ahmed (UAE),2017-2021,23,14,5,63,18,7.00,63,100.00,0,0,5,1,4
1052,MD du Preez (NAM),2021-2021,3,2,2,62,33*,-,58,106.89,0,0,0,5,1
1053,K Joshi (Aut),2019-2021,8,5,2,62,32*,20.66,69,89.85,0,0,0,4,2
1054,AN Cook (ENG),2007-2009,4,4,0,61,26,15.25,54,112.96,0,0,0,10,0
1055,A Dananjaya (SL),2012-2021,31,15,7,61,11*,7.62,71,85.91,0,0,2,6,0
1056,V Jagannivasan (CZK-R),2021-2021,3,3,0,61,55,20.33,48,127.08,0,1,1,9,0
1057,SA Jumbe (TAN),2021-2021,7,5,2,61,23,20.33,47,129.78,0,0,1,1,4
1058,PD McGlashan (NZ),2006-2010,11,9,1,61,26,7.62,64,95.31,0,0,0,6,2
1059,Mien Mehmood (PORT),2019-2021,7,7,0,61,16,8.71,69,88.40,0,0,1,4,2
1060,C Rubagumya (RWN),2021-2021,11,8,1,61,16,8.71,77,79.22,0,0,1,2,3
1061,A Sathya (Mex),2019-2019,3,3,0,61,30,20.33,61,100.00,0,0,0,3,2
1062,PH Shamdasani (Peru),2019-2019,4,4,1,61,37,20.33,72,84.72,0,0,0,3,1
1063,Mohammad Aadil Alam (NEPAL),2022-2022,3,3,0,60,31,20.00,33,181.81,0,0,0,2,5
1064,DE Budge (SCOT),2018-2021,8,6,2,60,24,15.00,62,96.77,0,0,2,2,3
1065,JWM Dalrymple (ENG),2006-2007,3,3,0,60,32,20.00,57,105.26,0,0,0,6,0
1066,M Kyriacou (CYP),2021-2021,6,5,2,60,44*,20.00,79,75.94,0,0,0,1,2
1067,Mohammad Adnan (Saudi),2019-2019,5,3,3,60,38*,-,31,193.54,0,0,0,4,5
1068,Mominul Haque (BAN),2012-2014,6,4,1,60,26*,20.00,50,120.00,0,0,0,5,2
1069,P Mustard (ENG),2008-2008,2,2,0,60,40,30.00,37,162.16,0,0,0,5,4
1070,PD Salt (ENG),2022-2022,3,3,0,60,57,20.00,31,193.54,0,1,1,3,5
1071,Sherul Mehta (Belg),2020-2021,3,3,0,60,40,20.00,89,67.41,0,0,0,6,0
1072,C Zavoiu (ROM),2019-2021,11,7,0,60,27,8.57,86,69.76,0,0,1,4,0
1073,Zeeshan Siddiqui (OMA),2015-2015,5,5,1,60,33*,15.00,63,95.23,0,0,0,7,0
1074,Ariful Haque (BAN),2018-2018,9,8,4,59,18*,14.75,61,96.72,0,0,1,4,0
1075,TA Blundell (NZ),2017-2021,7,6,2,59,30*,14.75,75,78.66,0,0,0,4,0
1076,DR Flynn (NZ),2008-2012,5,5,0,59,23,11.80,51,115.68,0,0,0,1,4
1077,Hayatullah Niazi (NOR),2019-2019,4,4,1,59,27,19.66,47,125.53,0,0,0,3,3
1078,Mohammad Amir (PAK),2009-2020,50,14,6,59,21*,7.37,72,81.94,0,0,2,2,3
1079,Muhammad Saleem (),2019-2019,4,4,0,59,52,14.75,54,109.25,0,1,0,5,1
1080,Mustafizur Rahman (BAN),2015-2022,63,22,7,59,15,3.93,85,69.41,0,0,6,3,3
1081,AAA Patel (LES),2021-2021,6,6,0,59,28,9.83,74,79.72,0,0,1,5,3
1082,AK Perera (SL),2013-2019,6,5,0,59,16,11.80,65,90.76,0,0,0,5,1
1083,Aamer Ikram (PORT),2019-2019,4,4,0,58,23,14.50,73,79.45,0,0,0,4,4
1084,Abu Hider (BAN),2016-2018,13,5,4,58,22*,58.00,43,134.88,0,0,0,5,4
1085,SK Atai (PNG),2019-2022,12,9,1,58,28*,7.25,49,118.36,0,0,4,5,1
1086,J Grassi (ITA),2021-2021,6,4,0,58,20,14.50,63,92.06,0,0,0,2,2
1087,ED Silva (KUW),2021-2021,4,4,1,58,58,19.33,31,187.09,0,1,2,6,4
1088,CJO Smith (SCOT),2007-2009,8,6,1,58,46*,11.60,54,107.40,0,0,3,6,0
1089,F Achelam (UGA),2019-2022,26,11,6,57,14,11.40,65,87.69,0,0,0,4,2
1090,Ali Saleem (NOR),2022-2022,4,4,0,57,25,14.25,58,98.27,0,0,0,0,3
1091,Alok Kapali (BAN),2007-2011,7,7,2,57,19,11.40,85,67.05,0,0,2,3,1
1092,DK Anefie (Ghana),2019-2021,11,7,3,57,23*,14.25,51,111.76,0,0,3,3,2
1093,C Jonker (SA),2018-2018,2,2,0,57,49,28.50,29,196.55,0,0,0,5,3
1094,B Kumar (INDIA),2012-2022,59,13,8,57,16,11.40,76,75.00,0,0,1,0,0
1095,A Makesh (KUW),2019-2019,4,2,1,57,57,57.00,41,139.02,0,1,0,3,4
1096,Naveed Ahmed (CZK-R),2019-2021,17,6,2,57,21,14.25,51,111.76,0,0,1,6,1
1097,Ravinder Singh (MLT),2019-2021,7,4,0,57,34,14.25,50,114.00,0,0,0,3,3
1098,Sohag Gazi (BAN),2012-2015,10,7,3,57,24,14.25,59,96.61,0,0,0,3,1
1099,RJ Trott (BMUDA),2008-2021,21,11,5,57,19,9.50,91,62.63,0,0,2,3,1
1100,PL Bruno (Arg),2021-2021,6,5,1,56,27,14.00,79,70.88,0,0,0,2,0
1101,HA Chohan (TAN),2021-2021,9,8,1,56,25,8.00,36,155.55,0,0,1,4,4
1102,JM How (NZ),2007-2008,5,5,0,56,31,11.20,67,83.58,0,0,0,5,1
1103,Imran Anwar (BHR),2019-2022,17,9,4,56,16*,11.20,73,76.71,0,0,1,2,0
1104,JB Little (IRE),2016-2022,34,15,7,56,15*,7.00,76,73.68,0,0,2,4,1
1105,P Manning (Caym),2019-2019,6,6,1,56,28,11.20,89,62.92,0,0,1,4,0
1106,MJ Ross (ITA),2019-2019,8,5,1,56,34,14.00,42,133.33,0,0,0,2,3
1107,SMSM Senanayake (SL),2012-2016,24,12,6,56,17,9.33,66,84.84,0,0,2,3,1
1108,S Waqas Ahmed (NOR),2019-2021,10,8,4,56,32*,14.00,70,80.00,0,0,1,4,0
1109,Ameel Mauroof (Mald),2019-2021,15,12,7,55,15*,11.00,84,65.47,0,0,1,3,0
1110,C Carter (HKG),2015-2017,10,5,1,55,17,13.75,63,87.30,0,0,0,3,0
1111,N Deonarine (WI),2010-2013,8,7,2,55,36*,11.00,53,103.77,0,0,3,5,0
1112,P Hatchman (GIBR),2021-2021,9,6,2,55,22,13.75,54,101.85,0,0,0,3,2
1113,GB Hogg (AUS),2006-2014,15,4,0,55,41,13.75,39,141.02,0,0,0,3,3
1114,B Ivanov (BUL),2019-2021,10,6,3,55,21*,18.33,88,62.50,0,0,1,4,1
1115,S Jamil (Belg),2019-2021,9,8,1,55,24,7.85,71,77.46,0,0,3,6,2
1116,KM Jarvis (ZIM),2011-2019,22,12,5,55,27,7.85,64,85.93,0,0,4,1,4
1117,D Kalvin (SEY),2021-2021,6,5,2,55,30,18.33,81,67.90,0,0,0,3,1
1118,Musa Shaheen (DEN),2019-2021,8,8,0,55,29,6.87,83,66.26,0,0,1,2,0
1119,S Santhirakumaran (Fran),2021-2021,3,3,0,55,34,18.33,74,74.32,0,0,1,6,0
1120,JTS Sumerauer (JER),2019-2021,13,10,2,55,13,6.87,57,96.49,0,0,0,5,0
1121,P Vekaria (RWN),2021-2021,8,6,4,55,20,27.50,38,144.73,0,0,0,3,4
1122,Yasir Mehmood (CYP),2021-2021,4,3,3,55,31*,-,52,105.76,0,0,0,2,3
1123,SE Aquilina (MLT),2019-2021,16,7,1,54,24,9.00,66,81.81,0,0,0,4,1
1124,Arsalan Ahmed (GRC),2019-2021,7,5,0,54,22,10.80,47,114.89,0,0,0,9,1
1125,HS Baidwan (CAN),2008-2013,17,11,2,54,21,6.00,52,103.84,0,0,4,4,1
1126,JW Chilia (VAN),2019-2019,14,7,4,54,23,18.00,54,100.00,0,0,0,3,3
1127,GD Drummond (SCOT),2008-2013,17,7,0,54,35,7.71,65,83.07,0,0,2,3,0
1128,Imran Khan (PORT),2019-2021,8,6,1,54,36,10.80,47,114.89,0,0,1,3,3
1129,MSS Mandy (Chile),2019-2019,4,4,0,54,32,13.50,67,80.59,0,0,0,8,0
1130,Murid Ekrami (Belg),2019-2021,11,7,2,54,28,10.80,60,90.00,0,0,0,2,1
1131,AK Muslar (Blz),2019-2021,9,9,2,54,15,7.71,99,54.54,0,0,2,3,2
1132,SMA Priyanjan (SL),2017-2017,3,3,2,54,40*,54.00,62,87.09,0,0,0,1,2
1133,R Ravindra (NZ),2021-2021,6,6,0,54,20,9.00,55,98.18,0,0,2,6,1
1134,Aphsal Ashraf (KUW),2020-2020,5,3,1,53,45*,26.50,32,165.62,0,0,0,1,5
1135,Arsalan Arif (Aut),2019-2021,2,2,1,53,27,53.00,39,135.89,0,0,0,9,0
1136,OF Smith (WI),2018-2022,10,5,0,53,24,10.60,34,155.88,0,0,0,4,4
1137,Usman Limbada (CAN),2010-2013,7,3,2,53,21*,53.00,41,129.26,0,0,0,6,0
1138,Asad Mahmood (SUI),2021-2021,4,3,0,52,33,17.33,36,144.44,0,0,0,3,4
1139,G Caisley (),2019-2019,4,4,0,52,38,13.00,59,88.13,0,0,1,3,2
1140,SJ Cotter (Samoa),2019-2019,4,4,0,52,25,13.00,62,83.87,0,0,0,4,1
1141,S Hook (EST),2021-2021,5,5,0,52,23,10.40,70,74.28,0,0,1,3,2
1142,AF Ifill (Caym),2019-2022,11,9,3,52,9*,8.66,82,63.41,0,0,0,2,1
1143,A Kheterpal (HUN),2021-2021,4,4,1,52,23,17.33,45,115.55,0,0,0,7,1
1144,RP Magar (NEPAL),2014-2015,6,6,0,52,25,8.66,89,58.42,0,0,1,0,3
